Genre,Series Name,Series URL,Episode Title,Broadcast Date,Audio Source / Link
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,Death Has A Thirst,1942.08.22,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1942-08-22_death_has_a_thirst.mp3&dl_series=The Whistler&dl_title=Death Has A Thirst&dl_date=1942.08.22&dl_size=6.65 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,The Letter,1942.08.29,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1942-08-29_the_letter.mp3&dl_series=The Whistler&dl_title=The Letter&dl_date=1942.08.29&dl_size=6.67 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,House Of Greed,1942.09.05,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1942-09-05_house_of_greed.mp3&dl_series=The Whistler&dl_title=House Of Greed&dl_date=1942.09.05&dl_size=6.39 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,Mirage,1942.09.13,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1942-09-13_mirage.mp3&dl_series=The Whistler&dl_title=Mirage&dl_date=1942.09.13&dl_size=6.74 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,Fog,1942.09.20,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1942-09-20_fog.mp3&dl_series=The Whistler&dl_title=Fog&dl_date=1942.09.20&dl_size=6.76 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,Jealousy,1942.09.27,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1942-09-27_jealousy.mp3&dl_series=The Whistler&dl_title=Jealousy&dl_date=1942.09.27&dl_size=6.69 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,Urge To Kill,1942.10.04,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1942-10-04_urge_to_kill.mp3&dl_series=The Whistler&dl_title=Urge To Kill&dl_date=1942.10.04&dl_size=6.73 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,Malice,1942.10.11,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1942-10-11_malice.mp3&dl_series=The Whistler&dl_title=Malice&dl_date=1942.10.11&dl_size=6.31 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,Death Comes At Midnight,1942.10.18,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1942-10-18_death_comes_at_midnight.mp3&dl_series=The Whistler&dl_title=Death Comes At Midnight&dl_date=1942.10.18&dl_size=6.63 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,The Alibi,1942.10.25,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1942-10-25_the_alibi.mp3&dl_series=The Whistler&dl_title=The Alibi&dl_date=1942.10.25&dl_size=6.66 MB
